iso3_o,iso3_d,dist,contig,comlang_off,col_dep_ever
USA,ITA,6907,0,0,0
USA,JPN,10872,0,0,0
USA,KOR,11077,0,0,0
USA,MEX,3359,1,0,0
USA,NLD,5877,0,0,0
USA,NOR,5930,0,0,0
USA,NZL,14187,0,1,0
USA,PRT,5435,0,0,0
USA,SWE,6336,0,0,0
USA,TUR,8087,0,0,0
USA,ZAF,12833,0,1,0
ZAF,ARG,8105,0,0,0
ZAF,AUS,11061,0,1,0
ZAF,AUT,8323,0,0,0
ZAF,BRA,7442,0,0,0
ZAF,CAN,13335,0,1,0
ZAF,CHL,9192,0,0,0
ZAF,CHN,11775,0,0,0
ZAF,DEU,8837,0,0,0
ZAF,DNK,9190,0,0,0
ZAF,ESP,8074,0,0,0
ZAF,FIN,9576,0,0,0
ZAF,FRA,8697,0,0,0
ZAF,GBR,9039,0,1,1
ZAF,GRC,7116,0,0,0
ZAF,HUN,8212,0,0,0
ZAF,IDN,8596,0,0,0
ZAF,IND,8029,0,1,0
ZAF,IRL,9414,0,1,0
ZAF,ITA,7708,0,0,0
ZAF,JPN,13538,0,0,0
ZAF,KOR,12483,0,0,0
ZAF,MEX,14593,0,0,0
ZAF,NLD,8992,0,0,1
ZAF,NOR,9674,0,0,0
ZAF,NZL,12206,0,1,0
ZAF,PRT,8163,0,0,0
ZAF,SWE,9523,0,0,0
ZAF,TUR,7442,0,0,0
ZAF,USA,12833,0,1,0
